Curing age (day),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
3,32.5,1.18
3,28.7,1.13
3,28.5,1.56
7,33.5,1.39
7,34.9,1.38
7,34.7,1.42
14,39.7,2.62
14,38.9,3.05
14,37,2.31
28,41.2,3.02
28,41.3,3.75
28,40.5,3.01
42,42,3.31
42,41.8,3.82
42,42.3,3.43
56,43.8,3.73
56,42.4,3.99
56,45,3.68
84,47.4,4.42
84,48.8,4.21
84,48,4.48
118,48.9,4.37
118,49.3,4.03
118,48.7,4.41
178,49.7,4.68
178,51.9,4.22
178,49.9,4.42
238,51.1,4.22
238,55.4,3.92
238,54.5,4.12
298,51.2,4.36
298,56.2,4.05
298,54.8,4.23
358,51.6,4.41
358,56.4,4.22
358,55.1,4.32
3,38.4,2.67
3,38,2.61
3,38.1,2.71
7,42.2,2.81
7,42.3,3.02
7,41.7,2.95
14,44.9,3.06
14,44.8,3.05
14,44.2,3.01
28,54.2,3.46
28,50.9,3.19
28,51.5,3.37
35,51.6,3.49
35,52.3,3.34
35,52.6,3.43
42,53.7,3.54
42,53.6,3.67
42,54,3.56
56,54.2,3.96
56,54.3,3.81
56,56,3.76
70,55.3,4.12
70,55,3.86
70,56.5,3.78
84,56.5,4.32
84,58.3,4.27
84,57,4.48
98,58,4.47
98,58.8,4.31
98,57.2,4.52
118,59.7,4.61
118,63.7,4.38
118,63,4.48
148,62.4,4.47
148,64.1,4.27
148,65,4.69
178,63.1,4.45
178,64.3,4.07
178,66.2,4.29
208,63.6,4.32
208,65.1,4.41
208,67,4.31
238,64.4,4.26
238,67.8,4.09
238,68.7,4.24
268,65.4,4.19
268,68.3,4.29
268,69.2,4.25
298,67.1,4.21
298,70.8,4.04
298,71.2,4.35
328,67.6,4.43
328,71.1,4.11
328,71.4,4.3
358,67.8,4.45
358,71.5,4.22
358,72,4.35
388,68.2,4.52
388,71.9,4.31
388,72.4,4.41
3,42.7,2.96
3,39.7,2.64
3,34,2.39
7,49.4,3.08
7,49.7,3.39
7,43.6,3.11
14,51.9,3.41
14,51.4,3.45
14,43.8,3.45
28,52.9,3.67
28,61.7,3.52
28,57.7,3.75
42,64,3.94
42,62.5,3.81
42,60.6,3.79
56,65,3.97
56,64,4.03
56,61.2,3.99
84,66.9,4.02
84,64.6,4.42
84,63,4.35
118,67.3,4.37
118,65,4.47
118,64,4.03
178,68,4.68
178,69.6,4.33
178,67.8,3.99
238,73,4.55
238,71,4.02
238,68,4.05
298,74.1,4.59
298,77.9,4.11
298,70.6,4.18
358,74.6,4.51
358,78.2,4.24
358,73.1,4.34
28,47.1,2.95
28,40.7,3.16
28,44.3,3.44
28,45.9,3.57
28,43.4,3.6
28,44.3,3.58
28,69.6,4
28,71.6,4.1
28,74.7,4.34
28,69.8,3.9
28,69.8,4.37
28,70.1,4.2
28,57,3.68
28,59.6,3.91
28,56.7,4.11
28,57,3.42
28,56.2,2.86
28,42.9,3.34
28,43.8,3.31
28,43.9,2.76
28,48.7,3.11
28,50.1,3.51
28,56.3,4.61
28,55.6,4.19
28,60.7,4.33
28,57.2,2.45
28,70.9,3.95
28,68.1,4.23
28,66.7,5.45
28,40.3,3.32
28,38.7,3.14
28,40.7,2.96
28,50.4,3.65
28,50.3,3.88
28,55.4,4.08
28,62.6,4.57
28,63.1,5.16
28,59.9,5.32
28,43.4,2.96
28,44.2,3.45
28,43.2,3.2
28,55,3.3
28,52.4,3.47
28,53.5,3.18
28,59.9,3.51
28,57.2,5.24
28,59.6,4.53
28,68.2,3.62
28,68.3,3.99
28,66,4.36
28,39.2,3.47
28,50.1,3.77
28,59.1,4.31
28,57,2.87
28,74.4,5.41
60,84.5,6.37
90,94.1,6.5
120,100.5,6.65
28,38.3,3.04
28,36.2,2.75
28,34.2,2.6
28,35.9,2.42
28,37.3,3.24
28,47.4,4.98
28,45.3,4.68
28,41.7,4.5
28,35.8,1.63
28,36.5,1.77
28,37.8,1.84
28,34.3,1.72
28,27.9,1.97
28,24.7,2.05
28,22.8,2.11
28,43.1,2.65
28,38.9,2.18
28,39,2.87
28,49,2.19
28,94.3,6.2
28,94.6,6.4
28,96.3,5.4
28,91,5.6
1,4.23,0.6
3,14.9,1.35
7,28.3,2.24
14,40.9,3.01
28,50.8,3.64
60,59.5,4.32
90,65.4,4.43
28,24.8,1.98
28,28.1,2.23
28,29.8,2.41
28,31.5,2.47
28,34,2.65
28,33.2,2.68
28,32.8,2.54
28,31.6,2.37
28,24.1,2.01
28,27.5,2.36
28,29,2.37
28,30.9,2.41
28,33.7,2.47
28,32.4,2.56
28,31.2,2.52
28,30.9,2.41
7,24.6,1.95
7,25.3,2.25
7,25,2.09
7,24.8,1.97
7,26.1,2.29
28,40.1,3.13
28,41.8,2.88
28,41.4,3.03
28,41.3,3.21
28,41.1,3.07
90,55.1,3.82
90,56.1,3.9
90,51,3.79
90,51.5,3.77
90,53.2,4.12
180,54.8,3.97
180,61.6,4.45
180,54.6,4.51
180,54.8,4.02
180,58.8,4.5
3,19,1.6
7,31.5,2.4
28,45.8,2.6
56,53,3.6
3,48.2,3.6
7,56.6,3.8
28,69.1,4
56,69.4,4.4
3,23.4,2.03
28,35.6,3.04
3,23.7,1.93
28,32.2,2.74
3,22.5,2.09
28,34.2,2.59
3,23.6,1.69
28,35.8,2.43
3,25.2,1.52
28,38.3,2.6
3,23.3,1.8
28,37.2,3.24
3,46.3,3.04
7,58.5,3.53
28,72.7,4.15
60,76.8,4.59
90,80.8,4.82
120,83.8,5.03
180,84.6,5.07
365,87.2,5.14
3,46.2,3.19
7,56.9,3.58
28,74.5,4.36
60,79.3,4.65
90,81.3,4.89
120,82.6,4.99
180,83.5,5.05
365,85.2,5.17
3,48.5,3.24
7,60.4,3.8
28,75.9,4.49
60,82.1,4.78
90,84.2,4.92
120,86.1,5.05
180,88.6,5.18
365,90.7,5.39
3,50.7,3.42
7,61,3.9
28,79.5,4.73
60,85.4,5.05
90,87.3,5.18
120,88.5,5.24
180,90.2,5.32
365,92.2,5.48
3,58.7,3.54
7,66.7,3.98
28,78.8,4.61
60,84.1,4.97
90,86.2,5.15
120,86.9,5.19
180,87.1,5.22
365,88.1,5.23
3,44,3.16
7,56.1,3.54
28,70.7,4.32
60,78.7,4.76
90,82.5,4.96
120,85.7,5.11
180,88.2,5.25
365,92,5.4
7,76.7,6
28,93.5,6.7
7,84.4,5.8
28,95.3,6.9
7,78.1,5.5
28,90.2,6.2
7,82.4,5.8
28,90.6,6.4
7,83.1,5.9
28,89.4,6.7
28,67.3,4.35
28,67.4,4.38
28,68,4.48
28,69.1,4.52
28,68,4.42
28,68,4.48
28,69.3,4.5
28,73.5,4.55
28,68.8,4.32
28,69.1,4.52
28,69.2,4.53
28,70.8,4.55
28,71.9,4.58
28,70.3,4.43
28,46.3,3.25
28,55,3.56
28,66.5,3.85
28,73.5,4.55
28,74.3,4.6
28,82.5,4.65
